[26-Feb-2025 23:52:06 UTC] PHP Warning:  Undefined array key "host" in /workspaces/midterm/.wordpress/wp-includes/pluggable.php on line 1625
[27-Feb-2025 00:37:48 UTC] PHP Fatal error:  Out of memory (allocated 39845888) (tried to allocate 8192 bytes) in /workspaces/midterm/.wordpress/wp-admin/includes/image.php on line 501
[27-Feb-2025 01:02:51 UTC] PHP Fatal error:  Out of memory (allocated 37748736) (tried to allocate 12288 bytes) in /workspaces/midterm/.wordpress/wp-content/plugins/wpforms-lite/includes/fields/class-email.php on line 1309
[27-Feb-2025 01:02:57 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/midterm/.wordpress/wp-content/plugins/wpforms-lite/src/Admin/Builder/Shortcuts.php on line 56
[27-Feb-2025 01:02:57 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/midterm/.wordpress/wp-content/plugins/wpforms-lite/src/Admin/Builder/Shortcuts.php on line 56
[27-Feb-2025 01:02:58 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/midterm/.wordpress/wp-content/plugins/wpforms-lite/src/Admin/Builder/Shortcuts.php on line 56
[27-Feb-2025 01:03:02 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 28672 bytes) in /workspaces/midterm/.wordpress/wp-admin/includes/class-wp-list-table.php on line 1532
[27-Feb-2025 01:03:02 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 20480 bytes) in /workspaces/midterm/.wordpress/wp-includes/class-wp-fatal-error-handler.php on line 196
[27-Feb-2025 01:03:02 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/midterm/.wordpress/wp-content/plugins/wpforms-lite/src/Admin/Builder/Shortcuts.php on line 76
[27-Feb-2025 01:03:03 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/midterm/.wordpress/wp-content/plugins/wpforms-lite/src/Admin/Builder/Help.php on line 1312
[27-Feb-2025 01:03:04 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/midterm/.wordpress/wp-content/plugins/wpforms-lite/src/Admin/Builder/HelpCache.php on line 36
[27-Feb-2025 01:03:04 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 28672 bytes) in /workspaces/midterm/.wordpress/wp-includes/PHPMailer/PHPMailer.php on line 5096
[27-Feb-2025 01:03:17 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/midterm/.wordpress/wp-content/plugins/wpforms-lite/src/Admin/Builder/Shortcuts.php on line 55
[27-Feb-2025 01:03:27 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/midterm/.wordpress/wp-content/plugins/wpforms-lite/src/Admin/Builder/Shortcuts.php on line 56
[27-Feb-2025 01:15:29 UTC] PHP Fatal error:  Out of memory (allocated 37748736) (tried to allocate 2097152 bytes) in /workspaces/midterm/.wordpress/wp-content/plugins/wpforms-lite/src/Admin/Builder/Shortcuts.php on line 56
[27-Feb-2025 01:16:04 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/midterm/.wordpress/wp-admin/includes/ajax-actions.php on line 3640
[27-Feb-2025 01:16:04 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/midterm/.wordpress/wp-content/plugins/wpforms-lite/src/Admin/Builder/Shortcuts.php on line 76
[27-Feb-2025 01:16:12 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/midterm/.wordpress/wp-content/plugins/wpforms-lite/src/Admin/Builder/Shortcuts.php on line 56
[27-Feb-2025 01:16:13 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 32768 bytes) in /workspaces/midterm/.wordpress/wp-admin/includes/update.php on line 504
[27-Feb-2025 01:16:24 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 32768 bytes) in /workspaces/midterm/.wordpress/wp-admin/includes/update.php on line 504
[27-Feb-2025 01:16:39 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/midterm/.wordpress/wp-content/plugins/wpforms-lite/src/Admin/Builder/Shortcuts.php on line 56
[27-Feb-2025 01:16:43 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/midterm/.wordpress/wp-content/plugins/wpforms-lite/src/Admin/Builder/Shortcuts.php on line 56
[27-Feb-2025 01:16:54 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 32768 bytes) in /workspaces/midterm/.wordpress/wp-admin/includes/update.php on line 504
[27-Feb-2025 01:16:56 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/midterm/.wordpress/wp-content/plugins/wpforms-lite/src/Admin/Builder/Shortcuts.php on line 56
[27-Feb-2025 01:16:57 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/midterm/.wordpress/wp-content/plugins/wpforms-lite/src/Admin/Builder/Shortcuts.php on line 56
[27-Feb-2025 01:16:57 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/midterm/.wordpress/wp-content/plugins/wpforms-lite/src/Admin/Builder/Shortcuts.php on line 56
[27-Feb-2025 01:16:57 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/midterm/.wordpress/wp-content/plugins/wpforms-lite/src/Admin/Builder/Shortcuts.php on line 56
[27-Feb-2025 01:16:59 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/midterm/.wordpress/wp-content/plugins/wpforms-lite/src/Admin/Builder/Help.php on line 1312
[27-Feb-2025 01:17:01 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/midterm/.wordpress/wp-content/plugins/wpforms-lite/src/Admin/Builder/HelpCache.php on line 36
